"first_name","last_name","address","city","county","state","zip","phone","email","rewards"
"Ernie","Stenseth","45 E Liberty St","Ridgefield Park","Bergen","NJ","7660","201-709-6245","ernie_stenseth@aol.com","silver"
"Albina","Glick","4 Ralph Ct","Dunellen","Middlesex","NJ","8812","732-924-7882","albina@glick.com","platinum"
"Alishia","Sergi","2742 Distribution Way","New York","New York","NY","10025","212-860-1579","asergi@gmail.com","bronze"
"Solange","Shinko","426 Wolf St","Metairie","Jefferson","LA","70002","504-979-9175","solange@shinko.com","platinum"
"Jose","Stockham","128 Bransten Rd","New York","New York","NY","10011","212-675-8570","jose@yahoo.com","platinum"
"Rozella","Ostrosky","17 Morena Blvd","Camarillo","Ventura","CA","93012","805-832-6163","rozella.ostrosky@ostrosky.com","gold "
"Valentine","Gillian","775 W 17th St","San Antonio","Bexar","TX","78204","210-812-9597","valentine_gillian@gmail.com","bronze"
"Kati","Rulapaugh","6980 Dorsett Rd","Abilene","Dickinson","KS","67410","785-463-7829","kati.rulapaugh@hotmail.com","platinum"
"Youlanda","Schemmer","2881 Lewis Rd","Prineville","Crook","OR","97754","541-548-8197","youlanda@aol.com","bronze"
"Dyan","Oldroyd","7219 Woodfield Rd","Overland Park","Johnson","KS","66204","913-413-4604","doldroyd@aol.com","platinum"
"Roxane","Campain","1048 Main St","Fairbanks","Fairbanks North Star","AK","99708","907-231-4722","roxane@hotmail.com","platinum"
"Lavera","Perin","678 3rd Ave","Miami","Miami-Dade","FL","33196","305-606-7291","lperin@perin.org","platinum"
"Erick","Ferencz","20 S Babcock St","Fairbanks","Fairbanks North Star","AK","99712","907-741-1044","erick.ferencz@aol.com","platinum"
"Fatima","Saylors","2 Lighthouse Ave","Hopkins","Hennepin","MN","55343","952-768-2416","fsaylors@saylors.org","gold "
"Jina","Briddick","38938 Park Blvd","Boston","Suffolk","MA","2128","617-399-5124","jina_briddick@briddick.com","platinum"
"Kanisha","Waycott","5 Tomahawk Dr","Los Angeles","Los Angeles","CA","90006","323-453-2780","kanisha_waycott@yahoo.com","silver"
"Emerson","Bowley","762 S Main St","Madison","Dane","WI","53711","608-336-7444","emerson.bowley@bowley.org","silver"
"Blair","Malet","209 Decker Dr","Philadelphia","Philadelphia","PA","19132","215-907-9111","bmalet@yahoo.com","silver"
"Brock","Bolognia","4486 W O St #1","New York","New York","NY","10003","212-402-9216","bbolognia@yahoo.com","bronze"
"Lorrie","Nestle","39 S 7th St","Tullahoma","Coffee","TN","37388","931-875-6644","lnestle@hotmail.com","silver"
"Sabra","Uyetake","98839 Hawthorne Blvd #6101","Columbia","Richland","SC","29201","803-925-5213","sabra@uyetake.org","bronze"
"Marjory","Mastella","71 San Mateo Ave","Wayne","Delaware","PA","19087","610-814-5533","mmastella@mastella.com","gold "
"Karl","Klonowski","76 Brooks St #9","Flemington","Hunterdon","NJ","8822","908-877-6135","karl_klonowski@yahoo.com","bronze"
"Tonette","Wenner","4545 Courthouse Rd","Westbury","Nassau","NY","11590","516-968-6051","twenner@aol.com","platinum"
"Amber","Monarrez","14288 Foster Ave #4121","Jenkintown","Montgomery","PA","19046","215-934-8655","amber_monarrez@monarrez.org","silver"
"Shenika","Seewald","4 Otis St","Van Nuys","Los Angeles","CA","91405","818-423-4007","shenika@gmail.com","silver"
"Delmy","Ahle","65895 S 16th St","Providence","Providence","RI","2909","401-458-2547","delmy.ahle@hotmail.com","silver"
"Deeanna","Juhas","14302 Pennsylvania Ave","Huntingdon Valley","Montgomery","PA","19006","215-211-9589","deeanna_juhas@gmail.com","gold "
"Blondell","Pugh","201 Hawk Ct","Providence","Providence","RI","2904","401-960-8259","bpugh@aol.com","gold "
"Jamal","Vanausdal","53075 Sw 152nd Ter #615","Monroe Township","Middlesex","NJ","8831","732-234-1546","jamal@vanausdal.org","bronze"
"Cecily","Hollack","59 N Groesbeck Hwy","Austin","Travis","TX","78731","512-486-3817","cecily@hollack.org","gold "
"Carmelina","Lindall","2664 Lewis Rd","Littleton","Douglas","CO","80126","303-724-7371","carmelina_lindall@lindall.com","bronze"
"Maurine","Yglesias","59 Shady Ln #53","Milwaukee","Milwaukee","WI","53214","414-748-1374","maurine_yglesias@yglesias.com","bronze"
"Tawna","Buvens","3305 Nabell Ave #679","New York","New York","NY","10009","212-674-9610","tawna@gmail.com","bronze"
"Penney","Weight","18 Fountain St","Anchorage","Anchorage","AK","99515","907-797-9628","penney_weight@aol.com","gold "
"Elly","Morocco","7 W 32nd St","Erie","Erie","PA","16502","814-393-5571","elly_morocco@gmail.com","platinum"
"Ilene","Eroman","2853 S Central Expy","Glen Burnie","Anne Arundel","MD","21061","410-914-9018","ilene.eroman@hotmail.com","gold "
"Vallie","Mondella","74 W College St","Boise","Ada","ID","83707","208-862-5339","vmondella@mondella.com","bronze"
"Kallie","Blackwood","701 S Harrison Rd","San Francisco","San Francisco","CA","94104","415-315-2761","kallie.blackwood@gmail.com","gold "
"Johnetta","Abdallah","1088 Pinehurst St","Chapel Hill","Orange","NC","27514","919-225-9345","johnetta_abdallah@aol.com","platinum"
"Bobbye","Rhym","30 W 80th St #1995","San Carlos","San Mateo","CA","94070","650-528-5783","brhym@rhym.com","gold "
"Micaela","Rhymes","20932 Hedley St","Concord","Contra Costa","CA","94520","925-647-3298","micaela_rhymes@gmail.com","silver"
"Tamar","Hoogland","2737 Pistorio Rd #9230","London","Madison","OH","43140","740-343-8575","tamar@hotmail.com","bronze"
"Moon","Parlato","74989 Brandon St","Wellsville","Allegany","NY","14895","585-866-8313","moon@yahoo.com","bronze"
"Laurel","Reitler","6 Kains Ave","Baltimore","Baltimore City","MD","21215","410-520-4832","laurel_reitler@reitler.com","silver"
"Delisa","Crupi","47565 W Grand Ave","Newark","Essex","NJ","7105","973-354-2040","delisa.crupi@crupi.com","bronze"
"Viva","Toelkes","4284 Dorigo Ln","Chicago","Cook","IL","60647","773-446-5569","viva.toelkes@gmail.com","platinum"
"Elza","Lipke","6794 Lake Dr E","Newark","Essex","NJ","7104","973-927-3447","elza@yahoo.com","platinum"
"Devorah","Chickering","31 Douglas Blvd #950","Clovis","Curry","NM","88101","505-975-8559","devorah@hotmail.com","bronze"
"Timothy","Mulqueen","44 W 4th St","Staten Island","Richmond","NY","10309","718-332-6527","timothy_mulqueen@mulqueen.org","silver"
"Arlette","Honeywell","11279 Loytan St","Jacksonville","Duval","FL","32254","904-775-4480","ahoneywell@honeywell.com","bronze"
"Dominque","Dickerson","69 Marquette Ave","Hayward","Alameda","CA","94545","510-993-3758","dominque.dickerson@dickerson.org","gold "
"Lettie","Isenhower","70 W Main St","Beachwood","Cuyahoga","OH","44122","216-657-7668","lettie_isenhower@yahoo.com","platinum"
"Myra","Munns","461 Prospect Pl #316","Euless","Tarrant","TX","76040","817-914-7518","mmunns@cox.net","gold "
"Stephaine","Barfield","47154 Whipple Ave Nw","Gardena","Los Angeles","CA","90247","310-774-7643","stephaine@barfield.com","silver"
"Lai","Gato","37 Alabama Ave","Evanston","Cook","IL","60201","847-728-7286","lai.gato@gato.org","bronze"
"Stephen","Emigh","3777 E Richmond St #900","Akron","Summit","OH","44302","330-537-5358","stephen_emigh@hotmail.com","gold "
"Tyra","Shields","3 Fort Worth Ave","Philadelphia","Philadelphia","PA","19106","215-255-1641","tshields@gmail.com","silver"
"Tammara","Wardrip","4800 Black Horse Pike","Burlingame","San Mateo","CA","94010","650-803-1936","twardrip@cox.net","gold "
"Cory","Gibes","83649 W Belmont Ave","San Gabriel","Los Angeles","CA","91776","626-572-1096","cory.gibes@gmail.com","gold "
"Danica","Bruschke","840 15th Ave","Waco","McLennan","TX","76708","254-782-8569","danica_bruschke@gmail.com","gold "
"Wilda","Giguere","1747 Calle Amanecer #2","Anchorage","Anchorage","AK","99501","907-870-5536","wilda@cox.net","platinum"
"Elvera","Benimadho","99385 Charity St #840","San Jose","Santa Clara","CA","95110","408-703-8505","elvera.benimadho@cox.net","bronze"
"Carma","Vanheusen","68556 Central Hwy","San Leandro","Alameda","CA","94577","510-503-7169","carma@cox.net","bronze"
"Malinda","Hochard","55 Riverside Ave","Indianapolis","Marion","IN","46202","317-722-5066","malinda.hochard@yahoo.com","gold "
"Natalie","Fern","7140 University Ave","Rock Springs","Sweetwater","WY","82901","307-704-8713","natalie.fern@hotmail.com","bronze"
"Lisha","Centini","64 5th Ave #1153","Mc Lean","Fairfax","VA","22102","703-235-3937","lisha@centini.org","bronze"
"Arlene","Klusman","3 Secor Rd","New Orleans","Orleans","LA","70112","504-710-5840","arlene_klusman@gmail.com","bronze"
"Alease","Buemi","4 Webbs Chapel Rd","Boulder","Boulder","CO","80303","303-301-4946","alease@buemi.com","platinum"
"Louisa","Cronauer","524 Louisiana Ave Nw","San Leandro","Alameda","CA","94577","510-828-7047","louisa@cronauer.com","bronze"
"Angella","Cetta","185 Blackstone Bldge","Honolulu","Honolulu","HI","96817","808-892-7943","angella.cetta@hotmail.com","bronze"
"Cyndy","Goldammer","170 Wyoming Ave","Burnsville","Dakota","MN","55337","952-334-9408","cgoldammer@cox.net","gold "
"Rosio","Cork","4 10th St W","High Point","Guilford","NC","27263","336-243-5659","rosio.cork@gmail.com","silver"
"Celeste","Korando","7 W Pinhook Rd","Lynbrook","Nassau","NY","11563","516-509-2347","ckorando@hotmail.com","gold "
"Twana","Felger","1 Commerce Way","Portland","Washington","OR","97224","503-939-3153","twana.felger@felger.org","silver"
"Estrella","Samu","64 Lakeview Ave","Beloit","Rock","WI","53511","608-976-7199","estrella@aol.com","platinum"
"Donte","Kines","3 Aspen St","Worcester","Worcester","MA","1602","508-429-8576","dkines@hotmail.com","gold "
"Tiffiny","Steffensmeier","32860 Sierra Rd","Miami","Miami-Dade","FL","33133","305-385-9695","tiffiny_steffensmeier@cox.net","gold "
"Edna","Miceli","555 Main St","Erie","Erie","PA","16502","814-460-2655","emiceli@miceli.org","gold "
"Sue","Kownacki","2 Se 3rd Ave","Mesquite","Dallas","TX","75149","972-666-3413","sue@aol.com","bronze"
"Jesusa","Shin","2239 Shawnee Mission Pky","Tullahoma","Coffee","TN","37388","931-273-8709","jshin@shin.com","gold "
"Rolland","Francescon","2726 Charcot Ave","Paterson","Passaic","NJ","7501","973-649-2922","rolland@cox.net","bronze"
"Pamella","Schmierer","5161 Dorsett Rd","Homestead","Miami-Dade","FL","33030","305-420-8970","pamella.schmierer@schmierer.org","bronze"
"Glory","Kulzer","55892 Jacksonville Rd","Owings Mills","Baltimore","MD","21117","410-224-9462","gkulzer@kulzer.org","platinum"
"Shawna","Palaspas","5 N Cleveland Massillon Rd","Thousand Oaks","Ventura","CA","91362","805-275-3566","shawna_palaspas@palaspas.org","gold "
"Brandon","Callaro","7 Benton Dr","Honolulu","Honolulu","HI","96819","808-215-6832","brandon_callaro@hotmail.com","silver"
"Scarlet","Cartan","9390 S Howell Ave","Albany","Dougherty","GA","31701","229-735-3378","scarlet.cartan@yahoo.com","platinum"
"Oretha","Menter","8 County Center Dr #647","Boston","Suffolk","MA","2210","617-418-5043","oretha_menter@yahoo.com","gold "
"Ty","Smith","4646 Kaahumanu St","Hackensack","Bergen","NJ","7601","201-672-1553","tsmith@aol.com","bronze"
"Xuan","Rochin","2 Monroe St","San Mateo","San Mateo","CA","94403","650-933-5072","xuan@gmail.com","gold "
"Lindsey","Dilello","52777 Leaders Heights Rd","Ontario","San Bernardino","CA","91761","909-639-9887","lindsey.dilello@hotmail.com","gold "
"Devora","Perez","72868 Blackington Ave","Oakland","Alameda","CA","94606","510-955-3016","devora_perez@perez.org","gold "
"Herman","Demesa","9 Norristown Rd","Troy","Rensselaer","NY","12180","518-497-2940","hdemesa@cox.net","gold "
"Rory","Papasergi","83 County Road 437 #8581","Clarks Summit","Lackawanna","PA","18411","570-867-7489","rpapasergi@cox.net","platinum"
"Talia","Riopelle","1 N Harlem Ave #9","Orange","Essex","NJ","7050","973-245-2133","talia_riopelle@aol.com","platinum"
"Van","Shire","90131 J St","Pittstown","Hunterdon","NJ","8867","908-409-2890","van.shire@shire.com","platinum"
"Lucina","Lary","8597 W National Ave","Cocoa","Brevard","FL","32922","321-749-4981","lucina_lary@cox.net","silver"
"Bok","Isaacs","6 Gilson St","Bronx","Bronx","NY","10468","718-809-3762","bok.isaacs@aol.com","silver"
"Rolande","Spickerman","65 W Maple Ave","Pearl City","Honolulu","HI","96782","808-315-3077","rolande.spickerman@spickerman.com","platinum"
"Howard","Paulas","866 34th Ave","Denver","Denver","CO","80231","303-623-4241","hpaulas@gmail.com","platinum"
"Kimbery","Madarang","798 Lund Farm Way","Rockaway","Morris","NJ","7866","973-310-1634","kimbery_madarang@cox.net","bronze"
"Thurman","Manno","9387 Charcot Ave","Absecon","Atlantic","NJ","8201","609-524-3586","thurman.manno@yahoo.com","bronze"
"Becky","Mirafuentes","30553 Washington Rd","Plainfield","Union","NJ","7062","908-877-8409","becky.mirafuentes@mirafuentes.com","silver"
"Beatriz","Corrington","481 W Lemon St","Middleboro","Plymouth","MA","2346","508-584-4279","beatriz@yahoo.com","silver"
"Marti","Maybury","4 Warehouse Point Rd #7","Chicago","Cook","IL","60638","773-775-4522","marti.maybury@yahoo.com","platinum"
"Nieves","Gotter","4940 Pulaski Park Dr","Portland","Multnomah","OR","97202","503-527-5274","nieves_gotter@gmail.com","silver"
"Leatha","Hagele","627 Walford Ave","Dallas","Dallas","TX","75227","214-339-1809","lhagele@cox.net","platinum"
"Valentin","Klimek","137 Pioneer Way","Chicago","Cook","IL","60604","312-303-5453","vklimek@klimek.org","silver"
"Melissa","Wiklund","61 13 Stoneridge #835","Findlay","Hancock","OH","45840","419-939-3613","melissa@cox.net","gold "
"Sheridan","Zane","2409 Alabama Rd","Riverside","Riverside","CA","92501","951-645-3605","sheridan.zane@zane.com","platinum"
"Bulah","Padilla","8927 Vandever Ave","Waco","McLennan","TX","76707","254-463-4368","bulah_padilla@hotmail.com","platinum"
"Audra","Kohnert","134 Lewis Rd","Nashville","Davidson","TN","37211","615-406-7854","audra@kohnert.com","gold "
"Daren","Weirather","9 N College Ave #3","Milwaukee","Milwaukee","WI","53216","414-959-2540","dweirather@aol.com","platinum"
"Fernanda","Jillson","60480 Old Us Highway 51","Preston","Caroline","MD","21655","410-387-5260","fjillson@aol.com","platinum"
"Gearldine","Gellinger","4 Bloomfield Ave","Irving","Dallas","TX","75061","972-934-6914","gearldine_gellinger@gellinger.com","gold "
"Chau","Kitzman","429 Tiger Ln","Beverly Hills","Los Angeles","CA","90212","310-560-8022","chau@gmail.com","gold "
"Theola","Frey","54169 N Main St","Massapequa","Nassau","NY","11758","516-948-5768","theola_frey@frey.com","silver"
"Cheryl","Haroldson","92 Main St","Atlantic City","Atlantic","NJ","8401","609-518-7697","cheryl@haroldson.org","gold "
"Laticia","Merced","72 Mannix Dr","Cincinnati","Hamilton","OH","45203","513-508-7371","lmerced@gmail.com","silver"
"Carissa","Batman","12270 Caton Center Dr","Eugene","Lane","OR","97401","541-326-4074","carissa.batman@yahoo.com","bronze"
"Lezlie","Craghead","749 W 18th St #45","Smithfield","Johnston","NC","27577","919-533-3762","lezlie.craghead@craghead.org","silver"
"Ozell","Shealy","8 Industry Ln","New York","New York","NY","10002","212-332-8435","oshealy@hotmail.com","silver"
"Arminda","Parvis","1 Huntwood Ave","Phoenix","Maricopa","AZ","85017","602-906-9419","arminda@parvis.com","bronze"
"Reita","Leto","55262 N French Rd","Indianapolis","Marion","IN","46240","317-234-1135","reita.leto@gmail.com","silver"
"Yolando","Luczki","422 E 21st St","Syracuse","Onondaga","NY","13214","315-304-4759","yolando@cox.net","gold "
"Lizette","Stem","501 N 19th Ave","Cherry Hill","Camden","NJ","8002","856-487-5412","lizette.stem@aol.com","gold "
"Gregoria","Pawlowicz","455 N Main Ave","Garden City","Nassau","NY","11530","516-212-1915","gpawlowicz@yahoo.com","bronze"
"Carin","Deleo","1844 Southern Blvd","Little Rock","Pulaski","AR","72202","501-308-1040","cdeleo@deleo.com","silver"
"Chantell","Maynerich","2023 Greg St","Saint Paul","Ramsey","MN","55101","651-591-2583","chantell@yahoo.com","bronze"
"Dierdre","Yum","63381 Jenks Ave","Philadelphia","Philadelphia","PA","19134","215-325-3042","dyum@yahoo.com","silver"
"Larae","Gudroe","6651 Municipal Rd","Houma","Terrebonne","LA","70360","985-890-7262","larae_gudroe@gmail.com","silver"
"Latrice","Tolfree","81 Norris Ave #525","Ronkonkoma","Suffolk","NY","11779","631-957-7624","latrice.tolfree@hotmail.com","platinum"
"Kerry","Theodorov","6916 W Main St","Sacramento","Sacramento","CA","95827","916-591-3277","kerry.theodorov@gmail.com","silver"
"Dorthy","Hidvegi","9635 S Main St","Boise","Ada","ID","83704","208-649-2373","dhidvegi@yahoo.com","bronze"
"Fannie","Lungren","17 Us Highway 111","Round Rock","Williamson","TX","78664","512-587-5746","fannie.lungren@yahoo.com","gold "
"Evangelina","Radde","992 Civic Center Dr","Philadelphia","Philadelphia","PA","19123","215-964-3284","evangelina@aol.com","platinum"
"Novella","Degroot","303 N Radcliffe St","Hilo","Hawaii","HI","96720","808-477-4775","novella_degroot@degroot.org","gold "
"Clay","Hoa","73 Saint Ann St #86","Reno","Washoe","NV","89502","775-501-8109","choa@hoa.org","platinum"
"Jennifer","Fallick","44 58th St","Wheeling","Cook","IL","60090","847-979-9545","jfallick@yahoo.com","silver"
"Irma","Wolfgramm","9745 W Main St","Randolph","Morris","NJ","7869","973-545-7355","irma.wolfgramm@hotmail.com","bronze"
"Eun","Coody","84 Bloomfield Ave","Spartanburg","Spartanburg","SC","29301","864-256-3620","eun@yahoo.com","platinum"
"Sylvia","Cousey","287 Youngstown Warren Rd","Hampstead","Carroll","MD","21074","410-209-9545","sylvia_cousey@cousey.org","gold "
"Nana","Wrinkles","6 Van Buren St","Mount Vernon","Westchester","NY","10553","914-855-2115","nana@aol.com","silver"
"Layla","Springe","229 N Forty Driv","New York","New York","NY","10011","212-260-3151","layla.springe@cox.net","bronze"
"Joesph","Degonia","2887 Knowlton St #5435","Berkeley","Alameda","CA","94710","510-677-9785","joesph_degonia@degonia.org","bronze"
"Annabelle","Boord","523 Marquette Ave","Concord","Middlesex","MA","1742","978-697-6263","annabelle.boord@cox.net","gold "
"Stephaine","Vinning","3717 Hamann Industrial Pky","San Francisco","San Francisco","CA","94104","415-767-6596","stephaine@cox.net","gold "
"Nelida","Sawchuk","3 State Route 35 S","Paramus","Bergen","NJ","7652","201-971-1638","nelida@gmail.com","silver"
"Marguerita","Hiatt","82 N Highway 67","Oakley","Contra Costa","CA","94561","925-634-7158","marguerita.hiatt@gmail.com","bronze"
"Carmela","Cookey","9 Murfreesboro Rd","Chicago","Cook","IL","60623","773-494-4195","ccookey@cookey.org","silver"
"Junita","Brideau","6 S Broadway St","Cedar Grove","Essex","NJ","7009","973-943-3423","jbrideau@aol.com","bronze"
"Claribel","Varriano","6 Harry L Dr #6327","Perrysburg","Wood","OH","43551","419-544-4900","claribel_varriano@cox.net","platinum"
"Benton","Skursky","47939 Porter Ave","Gardena","Los Angeles","CA","90248","310-579-2907","benton.skursky@aol.com","gold "
"Hillary","Skulski","9 Wales Rd Ne #914","Homosassa","Citrus","FL","34448","352-242-2570","hillary.skulski@aol.com","gold "
"Merilyn","Bayless","195 13n N","Santa Clara","Santa Clara","CA","95054","408-758-5015","merilyn_bayless@cox.net","gold "
"Teri","Ennaco","99 Tank Farm Rd","Hazleton","Luzerne","PA","18201","570-889-5187","tennaco@gmail.com","gold "
"Merlyn","Lawler","4671 Alemany Blvd","Jersey City","Hudson","NJ","7304","201-588-7810","merlyn_lawler@hotmail.com","bronze"
"Georgene","Montezuma","98 University Dr","San Ramon","Contra Costa","CA","94583","925-615-5185","gmontezuma@cox.net","platinum"
"Jettie","Mconnell","50 E Wacker Dr","Bridgewater","Somerset","NJ","8807","908-802-3564","jmconnell@hotmail.com","platinum"
"Lemuel","Latzke","70 Euclid Ave #722","Bohemia","Suffolk","NY","11716","631-748-6479","lemuel.latzke@gmail.com","gold "
"Melodie","Knipp","326 E Main St #6496","Thousand Oaks","Ventura","CA","91362","805-690-1682","mknipp@gmail.com","platinum"
"Candida","Corbley","406 Main St","Somerville","Somerset","NJ","8876","908-275-8357","candida_corbley@hotmail.com","platinum"
"Karan","Karpin","3 Elmwood Dr","Beaverton","Washington","OR","97005","503-940-8327","karan_karpin@gmail.com","platinum"
"Andra","Scheyer","9 Church St","Salem","Marion","OR","97302","503-516-2189","andra@gmail.com","gold "
"Felicidad","Poullion","9939 N 14th St","Riverton","Burlington","NJ","8077","856-305-9731","fpoullion@poullion.com","bronze"
"Belen","Strassner","5384 Southwyck Blvd","Douglasville","Douglas","GA","30135","770-507-8791","belen_strassner@aol.com","silver"
"Gracia","Melnyk","97 Airport Loop Dr","Jacksonville","Duval","FL","32216","904-235-3633","gracia@melnyk.com","bronze"
"Jolanda","Hanafan","37855 Nolan Rd","Bangor","Penobscot","ME","4401","207-458-9196","jhanafan@gmail.com","platinum"
"Barrett","Toyama","4252 N Washington Ave #9","Kennedale","Tarrant","TX","76060","817-765-5781","barrett.toyama@toyama.org","silver"
"Helga","Fredicks","42754 S Ash Ave","Buffalo","Erie","NY","14228","716-752-4114","helga_fredicks@yahoo.com","silver"
"Ashlyn","Pinilla","703 Beville Rd","Opa Locka","Miami-Dade","FL","33054","305-670-9628","apinilla@cox.net","platinum"
"Fausto","Agramonte","5 Harrison Rd","New York","New York","NY","10038","212-313-1783","fausto_agramonte@yahoo.com","platinum"
"Ronny","Caiafa","73 Southern Blvd","Philadelphia","Philadelphia","PA","19103","215-605-7570","ronny.caiafa@caiafa.org","bronze"
"Marge","Limmel","189 Village Park Rd","Crestview","Okaloosa","FL","32536","850-430-1663","marge@gmail.com","gold "
"Norah","Waymire","6 Middlegate Rd #106","San Francisco","San Francisco","CA","94107","415-306-7897","norah.waymire@gmail.com","platinum"
"Aliza","Baltimore","1128 Delaware St","San Jose","Santa Clara","CA","95132","408-504-3552","aliza@aol.com","bronze"
"Mozell","Pelkowski","577 Parade St","South San Francisco","San Mateo","CA","94080","650-947-1215","mpelkowski@pelkowski.org","silver"
"Viola","Bitsuie","70 Mechanic St","Northridge","Los Angeles","CA","91325","818-864-4875","viola@gmail.com","bronze"
"Franklyn","Emard","4379 Highway 116","Philadelphia","Philadelphia","PA","19103","215-558-8189","femard@emard.com","bronze"
"Willodean","Konopacki","55 Hawthorne Blvd","Lafayette","Lafayette","LA","70506","337-253-8384","willodean_konopacki@konopacki.org","gold "
"Beckie","Silvestrini","7116 Western Ave","Dearborn","Wayne","MI","48126","313-533-4884","beckie.silvestrini@silvestrini.com","bronze"
"Rebecka","Gesick","2026 N Plankinton Ave #3","Austin","Travis","TX","78754","512-213-8574","rgesick@gesick.org","platinum"
"Frederica","Blunk","99586 Main St","Dallas","Dallas","TX","75207","214-428-2285","frederica_blunk@gmail.com","silver"
"Glen","Bartolet","8739 Hudson St","Vashon","King","WA","98070","206-697-5796","glen_bartolet@hotmail.com","silver"
"Freeman","Gochal","383 Gunderman Rd #197","Coatesville","Chester","PA","19320","610-476-3501","freeman_gochal@aol.com","platinum"
"Vincent","Meinerding","4441 Point Term Mkt","Philadelphia","Philadelphia","PA","19143","215-372-1718","vincent.meinerding@hotmail.com","gold "
"Rima","Bevelacqua","2972 Lafayette Ave","Gardena","Los Angeles","CA","90248","310-858-5079","rima@cox.net","gold "
"Glendora","Sarbacher","2140 Diamond Blvd","Rohnert Park","Sonoma","CA","94928","707-653-8214","gsarbacher@gmail.com","silver"
"Avery","Steier","93 Redmond Rd #492","Orlando","Orange","FL","32803","407-808-9439","avery@cox.net","silver"
"Cristy","Lother","3989 Portage Tr","Escondido","San Diego","CA","92025","760-971-4322","cristy@lother.com","bronze"
"Nicolette","Brossart","1 Midway Rd","Westborough","Worcester","MA","1581","508-837-9230","nicolette_brossart@brossart.com","gold "
